No.,Broadcaster,Sniffer_Distance,RSSI,Malformed Packet
12,6,75,-82 dBm,1
37,6,75,-85 dBm,1
90,6,75,-82 dBm,1
92,6,75,-86 dBm,1
215,6,75,-74 dBm,1
234,6,75,-75 dBm,1
318,6,75,-76 dBm,1
385,6,75,-84 dBm,1
419,6,75,-78 dBm,1
463,6,75,-84 dBm,1
482,6,75,-86 dBm,1
489,6,75,-75 dBm,1
495,6,75,-82 dBm,1
502,6,75,-84 dBm,1
516,6,75,-82 dBm,1
528,6,75,-73 dBm,1
555,6,75,-82 dBm,1
576,6,75,-74 dBm,1
654,6,75,-82 dBm,1
712,6,75,-83 dBm,1
834,6,75,-81 dBm,1
874,6,75,-84 dBm,1
1099,6,75,-84 dBm,1
1292,6,75,-86 dBm,1
1363,6,75,-84 dBm,1
1485,6,75,-72 dBm,1
1564,6,75,-83 dBm,1
1591,6,75,-78 dBm,1
1717,6,75,-73 dBm,1
1773,6,75,-82 dBm,1
1836,6,75,-77 dBm,1
1906,6,75,-84 dBm,1
1975,6,75,-84 dBm,1
2107,6,75,-84 dBm,1
2123,6,75,-78 dBm,1
2172,6,75,-82 dBm,1
2181,6,75,-81 dBm,1
2222,6,75,-81 dBm,1
2238,6,75,-82 dBm,1
2283,6,75,-75 dBm,1
2286,6,75,-81 dBm,1
2340,6,75,-81 dBm,1
2365,6,75,-84 dBm,1
2383,6,75,-85 dBm,1
2447,6,75,-88 dBm,1
2602,6,75,-83 dBm,1
2640,6,75,-82 dBm,1
2716,6,75,-83 dBm,1
2790,6,75,-81 dBm,1
2881,6,75,-70 dBm,1
2887,6,75,-84 dBm,1
2902,6,75,-75 dBm,1
2916,6,75,-82 dBm,1
2959,6,75,-83 dBm,1
3058,6,75,-84 dBm,1
3093,6,75,-82 dBm,1
3111,6,75,-82 dBm,1
3240,6,75,-82 dBm,1
3303,6,75,-82 dBm,1
3315,6,75,-82 dBm,1
3355,6,75,-70 dBm,1
3369,6,75,-82 dBm,1
3444,6,75,-82 dBm,1
3465,6,75,-76 dBm,1
3627,6,75,-81 dBm,1
3730,6,75,-84 dBm,1
3888,6,75,-82 dBm,1
3912,6,75,-82 dBm,1
4052,6,75,-74 dBm,1
4091,6,75,-84 dBm,1
4163,6,75,-85 dBm,1
4240,6,75,-83 dBm,1
4324,6,75,-83 dBm,1
4325,6,75,-77 dBm,1
4332,6,75,-82 dBm,1
4355,6,75,-84 dBm,1
4376,6,75,-84 dBm,1
4388,6,75,-84 dBm,1
4401,6,75,-81 dBm,1
4453,6,75,-73 dBm,1
4486,6,75,-83 dBm,1
4545,6,75,-81 dBm,1
4752,6,75,-81 dBm,1
4764,6,75,-81 dBm,1
4773,6,75,-81 dBm,1
4813,6,75,-75 dBm,1
4895,6,75,-86 dBm,1
4914,6,75,-74 dBm,1
4916,6,75,-85 dBm,1
4934,6,75,-85 dBm,1
5008,6,75,-70 dBm,1
5143,6,75,-83 dBm,1
5156,6,75,-89 dBm,1
5164,6,75,-83 dBm,1
5232,6,75,-80 dBm,1
5307,6,75,-75 dBm,1
5322,6,75,-80 dBm,1
5341,6,75,-84 dBm,1
5356,6,75,-82 dBm,1
5364,6,75,-81 dBm,1
5509,6,75,-76 dBm,1
5522,6,75,-74 dBm,1
5532,6,75,-74 dBm,1
5534,6,75,-79 dBm,1
5550,6,75,-75 dBm,1
5556,6,75,-75 dBm,1
5560,6,75,-73 dBm,1
5567,6,75,-79 dBm,1
5570,6,75,-75 dBm,1
5573,6,75,-76 dBm,1
5579,6,75,-75 dBm,1
5581,6,75,-76 dBm,1
5582,6,75,-82 dBm,1
5588,6,75,-81 dBm,1
5589,6,75,-83 dBm,1
5595,6,75,-76 dBm,1
5610,6,75,-75 dBm,1
5613,6,75,-78 dBm,1
5623,6,75,-76 dBm,1
5635,6,75,-73 dBm,1
5641,6,75,-79 dBm,1
5650,6,75,-76 dBm,1
5658,6,75,-74 dBm,1
5675,6,75,-76 dBm,1
5680,6,75,-72 dBm,1
5681,6,75,-74 dBm,1
5703,6,75,-81 dBm,1
5711,6,75,-81 dBm,1
5731,6,75,-77 dBm,1
5748,6,75,-73 dBm,1
5859,6,75,-77 dBm,1
5921,6,75,-78 dBm,1
5939,6,75,-74 dBm,1
5951,6,75,-78 dBm,1
5963,6,75,-80 dBm,1
6002,6,75,-74 dBm,1
6013,6,75,-81 dBm,1
6035,6,75,-75 dBm,1
6037,6,75,-82 dBm,1
6090,6,75,-74 dBm,1
6144,6,75,-74 dBm,1
6145,6,75,-78 dBm,1
6185,6,75,-75 dBm,1
6250,6,75,-78 dBm,1
6258,6,75,-79 dBm,1
6268,6,75,-80 dBm,1
6281,6,75,-80 dBm,1
6293,6,75,-78 dBm,1
6298,6,75,-80 dBm,1
6306,6,75,-82 dBm,1
6343,6,75,-78 dBm,1
6369,6,75,-81 dBm,1
6373,6,75,-80 dBm,1
6413,6,75,-85 dBm,1
6427,6,75,-82 dBm,1
6429,6,75,-80 dBm,1
6441,6,75,-70 dBm,1
6504,6,75,-81 dBm,1
6526,6,75,-76 dBm,1
6536,6,75,-76 dBm,1
6568,6,75,-73 dBm,1
6598,6,75,-77 dBm,1
6606,6,75,-76 dBm,1
6608,6,75,-77 dBm,1
6617,6,75,-79 dBm,1
6637,6,75,-75 dBm,1
6660,6,75,-81 dBm,1
6668,6,75,-79 dBm,1
6684,6,75,-79 dBm,1
6713,6,75,-78 dBm,1
6772,6,75,-79 dBm,1
6799,6,75,-78 dBm,1
6819,6,75,-73 dBm,1
6822,6,75,-77 dBm,1
6860,6,75,-76 dBm,1
6890,6,75,-80 dBm,1
6930,6,75,-76 dBm,1
6933,6,75,-82 dBm,1
6968,6,75,-79 dBm,1
6987,6,75,-75 dBm,1
6993,6,75,-81 dBm,1
6994,6,75,-82 dBm,1
7018,6,75,-73 dBm,1
7053,6,75,-75 dBm,1
7082,6,75,-76 dBm,1
7086,6,75,-73 dBm,1
7093,6,75,-75 dBm,1
7146,6,75,-73 dBm,1
7157,6,75,-80 dBm,1
7177,6,75,-79 dBm,1
7205,6,75,-70 dBm,1
7206,6,75,-78 dBm,1
7213,6,75,-82 dBm,1
7223,6,75,-83 dBm,1
7283,6,75,-75 dBm,1
7293,6,75,-80 dBm,1
7299,6,75,-77 dBm,1
7308,6,75,-77 dBm,1
7309,6,75,-82 dBm,1
7323,6,75,-81 dBm,1
7352,6,75,-73 dBm,1
7353,6,75,-79 dBm,1
7410,6,75,-81 dBm,1
7454,6,75,-72 dBm,1
7483,6,75,-77 dBm,1
7486,6,75,-71 dBm,1
7510,6,75,-76 dBm,1
7536,6,75,-77 dBm,1
7551,6,75,-78 dBm,1
7600,6,75,-68 dBm,1
7638,6,75,-77 dBm,1
7658,6,75,-73 dBm,1
7662,6,75,-76 dBm,1
7671,6,75,-80 dBm,1
7706,6,75,-75 dBm,1
7708,6,75,-78 dBm,1
7759,6,75,-75 dBm,1
7775,6,75,-72 dBm,1
7795,6,75,-75 dBm,1
7807,6,75,-76 dBm,1
7825,6,75,-74 dBm,1
7828,6,75,-74 dBm,1
7837,6,75,-79 dBm,1
7850,6,75,-78 dBm,1
7915,6,75,-75 dBm,1
7934,6,75,-68 dBm,1
7975,6,75,-76 dBm,1
8082,6,75,-70 dBm,1
8085,6,75,-73 dBm,1
8107,6,75,-73 dBm,1
8239,6,75,-77 dBm,1
8266,6,75,-71 dBm,1
8269,6,75,-77 dBm,1
8273,6,75,-72 dBm,1
8291,6,75,-73 dBm,1
8361,6,75,-76 dBm,1
8428,6,75,-72 dBm,1
8448,6,75,-67 dBm,1
8528,6,75,-74 dBm,1
8601,6,75,-72 dBm,1
8628,6,75,-78 dBm,1
8682,6,75,-73 dBm,1
8728,6,75,-71 dBm,1
8751,6,75,-73 dBm,1
8776,6,75,-69 dBm,1
8825,6,75,-75 dBm,1
8839,6,75,-75 dBm,1
8841,6,75,-73 dBm,1
8842,6,75,-76 dBm,1
8855,6,75,-79 dBm,1
8923,6,75,-74 dBm,1
8974,6,75,-79 dBm,1
8985,6,75,-77 dBm,1
8989,6,75,-80 dBm,1
9003,6,75,-76 dBm,1
9056,6,75,-71 dBm,1
9059,6,75,-78 dBm,1
9074,6,75,-79 dBm,1
9108,6,75,-74 dBm,1
9121,6,75,-77 dBm,1
9161,6,75,-76 dBm,1
9206,6,75,-76 dBm,1
9216,6,75,-80 dBm,1
9234,6,75,-84 dBm,1
