No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
59,5,25,-79 dBm,1
122,5,25,-71 dBm,1
123,5,25,-68 dBm,1
124,5,25,-68 dBm,1
251,5,25,-88 dBm,1
302,5,25,-85 dBm,1
444,5,25,-89 dBm,1
501,5,25,-89 dBm,1
564,5,25,-88 dBm,1
611,5,25,-82 dBm,1
716,5,25,-88 dBm,1
764,5,25,-84 dBm,1
776,5,25,-83 dBm,1
872,5,25,-84 dBm,1
1026,5,25,-87 dBm,1
1034,5,25,-87 dBm,1
1094,5,25,-85 dBm,1
1139,5,25,-77 dBm,1
1262,5,25,-86 dBm,1
1440,5,25,-81 dBm,1
1832,5,25,-86 dBm,1
1868,5,25,-79 dBm,1
1931,5,25,-85 dBm,1
2166,5,25,-74 dBm,1
2299,5,25,-76 dBm,1
2318,5,25,-82 dBm,1
2379,5,25,-86 dBm,1
2406,5,25,-87 dBm,1
2514,5,25,-73 dBm,1
2561,5,25,-84 dBm,1
2568,5,25,-86 dBm,1
2598,5,25,-87 dBm,1
2810,5,25,-83 dBm,1
2919,5,25,-87 dBm,1
3035,5,25,-83 dBm,1
3050,5,25,-83 dBm,1
3071,5,25,-82 dBm,1
3083,5,25,-83 dBm,1
3096,5,25,-90 dBm,1
3110,5,25,-83 dBm,1
3212,5,25,-83 dBm,1
3264,5,25,-85 dBm,1
3341,5,25,-86 dBm,1
3380,5,25,-83 dBm,1
3456,5,25,-87 dBm,1
3526,5,25,-76 dBm,1
3548,5,25,-83 dBm,1
3791,5,25,-83 dBm,1
3873,5,25,-74 dBm,1
4199,5,25,-78 dBm,1
4226,5,25,-78 dBm,1
4476,5,25,-86 dBm,1
4608,5,25,-85 dBm,1
4752,5,25,-86 dBm,1
4910,5,25,-85 dBm,1
4973,5,25,-83 dBm,1
5070,5,25,-83 dBm,1
5896,5,25,-69 dBm,1
6188,5,25,-72 dBm,1
6263,5,25,-73 dBm,1
6283,5,25,-74 dBm,1
6304,5,25,-78 dBm,1
6359,5,25,-60 dBm,1
6400,5,25,-77 dBm,1
6420,5,25,-78 dBm,1
6462,5,25,-61 dBm,1
6478,5,25,-75 dBm,1
6517,5,25,-74 dBm,1
6719,5,25,-74 dBm,1
6814,5,25,-69 dBm,1
6822,5,25,-75 dBm,1
6849,5,25,-74 dBm,1
6919,5,25,-73 dBm,1
6966,5,25,-74 dBm,1
7088,5,25,-65 dBm,1
7111,5,25,-69 dBm,1
7146,5,25,-56 dBm,1
7175,5,25,-71 dBm,1
7259,5,25,-74 dBm,1
7433,5,25,-71 dBm,1
7469,5,25,-69 dBm,1
7670,5,25,-72 dBm,1
7744,5,25,-63 dBm,1
7779,5,25,-69 dBm,1
7795,5,25,-63 dBm,1
8059,5,25,-67 dBm,1
8266,5,25,-62 dBm,1
8564,5,25,-83 dBm,1
8784,5,25,-69 dBm,1
8815,5,25,-70 dBm,1
9515,5,25,-70 dBm,1
9547,5,25,-68 dBm,1
9645,5,25,-69 dBm,1
9916,5,25,-83 dBm,1
9966,5,25,-69 dBm,1
9990,5,25,-70 dBm,1
10087,5,25,-73 dBm,1
10139,5,25,-70 dBm,1
10461,5,25,-74 dBm,1
10506,5,25,-72 dBm,1
10509,5,25,-71 dBm,1
10850,5,25,-70 dBm,1
10905,5,25,-72 dBm,1
10958,5,25,-75 dBm,1
11111,5,25,-73 dBm,1
11442,5,25,-81 dBm,1
