No.,Broadcasters,Sniffer_Distance,RSSI,Malformed Packet
2,5,62.5,-75 dBm,1
19,5,62.5,-76 dBm,1
35,5,62.5,-74 dBm,1
55,5,62.5,-76 dBm,1
118,5,62.5,-79 dBm,1
136,5,62.5,-76 dBm,1
190,5,62.5,-79 dBm,1
193,5,62.5,-76 dBm,1
232,5,62.5,-76 dBm,1
256,5,62.5,-76 dBm,1
274,5,62.5,-81 dBm,1
377,5,62.5,-76 dBm,1
389,5,62.5,-75 dBm,1
394,5,62.5,-76 dBm,1
415,5,62.5,-77 dBm,1
433,5,62.5,-83 dBm,1
439,5,62.5,-76 dBm,1
448,5,62.5,-67 dBm,1
454,5,62.5,-77 dBm,1
496,5,62.5,-77 dBm,1
518,5,62.5,-75 dBm,1
529,5,62.5,-75 dBm,1
541,5,62.5,-85 dBm,1
586,5,62.5,-77 dBm,1
601,5,62.5,-70 dBm,1
603,5,62.5,-79 dBm,1
622,5,62.5,-77 dBm,1
679,5,62.5,-77 dBm,1
685,5,62.5,-85 dBm,1
697,5,62.5,-83 dBm,1
826,5,62.5,-83 dBm,1
829,5,62.5,-77 dBm,1
862,5,62.5,-77 dBm,1
898,5,62.5,-77 dBm,1
916,5,62.5,-77 dBm,1
934,5,62.5,-77 dBm,1
952,5,62.5,-77 dBm,1
973,5,62.5,-77 dBm,1
1015,5,62.5,-82 dBm,1
1033,5,62.5,-77 dBm,1
1051,5,62.5,-78 dBm,1
1084,5,62.5,-75 dBm,1
1096,5,62.5,-76 dBm,1
1129,5,62.5,-82 dBm,1
1267,5,62.5,-76 dBm,1
1288,5,62.5,-77 dBm,1
1303,5,62.5,-77 dBm,1
1306,5,62.5,-83 dBm,1
1319,5,62.5,-70 dBm,1
1327,5,62.5,-76 dBm,1
1339,5,62.5,-82 dBm,1
1369,5,62.5,-76 dBm,1
1390,5,62.5,-78 dBm,1
1426,5,62.5,-77 dBm,1
1450,5,62.5,-77 dBm,1
1465,5,62.5,-77 dBm,1
1486,5,62.5,-76 dBm,1
1540,5,62.5,-83 dBm,1
1546,5,62.5,-77 dBm,1
1645,5,62.5,-73 dBm,1
1646,5,62.5,-76 dBm,1
1647,5,62.5,-80 dBm,1
1654,5,62.5,-77 dBm,1
1684,5,62.5,-77 dBm,1
1699,5,62.5,-77 dBm,1
1700,5,62.5,-76 dBm,1
1723,5,62.5,-77 dBm,1
1729,5,62.5,-70 dBm,1
1738,5,62.5,-77 dBm,1
1739,5,62.5,-76 dBm,1
1756,5,62.5,-77 dBm,1
1775,5,62.5,-75 dBm,1
1780,5,62.5,-77 dBm,1
1781,5,62.5,-72 dBm,1
1789,5,62.5,-76 dBm,1
1807,5,62.5,-77 dBm,1
1822,5,62.5,-76 dBm,1
1823,5,62.5,-75 dBm,1
1837,5,62.5,-76 dBm,1
1846,5,62.5,-77 dBm,1
1852,5,62.5,-76 dBm,1
1897,5,62.5,-77 dBm,1
1927,5,62.5,-76 dBm,1
1945,5,62.5,-77 dBm,1
1946,5,62.5,-76 dBm,1
1947,5,62.5,-80 dBm,1
2009,5,62.5,-67 dBm,1
2020,5,62.5,-82 dBm,1
2027,5,62.5,-76 dBm,1
2028,5,62.5,-79 dBm,1
2036,5,62.5,-76 dBm,1
2059,5,62.5,-83 dBm,1
2077,5,62.5,-75 dBm,1
2092,5,62.5,-77 dBm,1
2093,5,62.5,-76 dBm,1
2149,5,62.5,-77 dBm,1
2182,5,62.5,-78 dBm,1
2200,5,62.5,-79 dBm,1
2218,5,62.5,-79 dBm,1
2248,5,62.5,-77 dBm,1
2251,5,62.5,-67 dBm,1
2287,5,62.5,-78 dBm,1
2288,5,62.5,-76 dBm,1
2341,5,62.5,-78 dBm,1
2390,5,62.5,-78 dBm,1
2447,5,62.5,-66 dBm,1
2515,5,62.5,-76 dBm,1
2551,5,62.5,-78 dBm,1
2569,5,62.5,-76 dBm,1
2572,5,62.5,-80 dBm,1
2593,5,62.5,-78 dBm,1
2608,5,62.5,-76 dBm,1
2650,5,62.5,-78 dBm,1
2671,5,62.5,-81 dBm,1
2698,5,62.5,-76 dBm,1
2740,5,62.5,-80 dBm,1
2795,5,62.5,-70 dBm,1
2809,5,62.5,-81 dBm,1
2842,5,62.5,-79 dBm,1
2849,5,62.5,-69 dBm,1
2863,5,62.5,-79 dBm,1
2873,5,62.5,-77 dBm,1
2923,5,62.5,-79 dBm,1
2989,5,62.5,-81 dBm,1
3004,5,62.5,-79 dBm,1
3007,5,62.5,-81 dBm,1
3028,5,62.5,-79 dBm,1
3043,5,62.5,-79 dBm,1
3052,5,62.5,-78 dBm,1
3106,5,62.5,-80 dBm,1
3138,5,62.5,-80 dBm,1
3182,5,62.5,-77 dBm,1
3211,5,62.5,-78 dBm,1
3244,5,62.5,-81 dBm,1
3373,5,62.5,-81 dBm,1
3379,5,62.5,-78 dBm,1
3392,5,62.5,-76 dBm,1
3400,5,62.5,-78 dBm,1
3415,5,62.5,-78 dBm,1
3433,5,62.5,-76 dBm,1
3454,5,62.5,-78 dBm,1
3458,5,62.5,-76 dBm,1
3469,5,62.5,-78 dBm,1
3490,5,62.5,-77 dBm,1
